date,open,high,low,close,5MA_value,25MA_value,75MA_value,VWAP,volume,5MA_volume,25MA_volume,ReturnViRatio
2022-10-17,26785.02,26814.92,26649.13,26775.79,26580.41,27121.95,27463.41,           ,65280,70912.4,72726.0,-0.6195192186134375
2022-10-18,27167.73,27229.88,26910.1,27156.14,26731.38,27085.59,27464.83,           ,66060,68339.4,72362.24,-0.5083553591385318
2022-10-19,27225.17,27371.38,27192.79,27257.38,26903.49,27047.29,27470.87,           ,57563,66082.8,71703.08,-0.47739226685090425
2022-10-20,26981.75,27092.55,26872.45,27006.96,27057.4,26985.89,27479.06,           ,60304,66311.8,72095.48,-0.5543098846272909
2022-10-21,26903.5,26985.38,26869.38,26890.58,27017.37,26916.93,27491.79,           ,56304,61102.2,72280.92,-0.5911531382086784
2022-10-24,27233.0,27308.97,26974.9,26974.9,27057.19,26883.18,27502.74,           ,59065,59859.2,71808.08,-0.5689379610384997
2022-10-25,27113.2,27337.8,27073.18,27250.28,27076.02,26858.15,27513.76,           ,62168,59080.8,72348.2,-0.4885177909909288
2022-10-26,27410.64,27578.05,27404.9,27431.84,27110.91,26852.72,27531.42,           ,61033,59774.8,71526.0,-0.4342664784265909
2022-10-27,27407.23,27450.26,27330.79,27345.24,27178.56,26838.99,27542.81,           ,65391,60792.2,71742.88,-0.46197831556721725
2022-10-28,27097.38,27265.46,26981.08,27105.2,27221.49,26830.68,27550.65,           ,144588,78449.0,74908.2,-0.5373957650344982
2022-10-31,27404.3,27602.99,27392.99,27587.46,27344.0,26848.02,27560.99,           ,71124,80860.8,75266.16,-0.3917053525323667
2022-11-01,27614.64,27682.97,27526.18,27678.92,27429.73,26897.92,27578.89,           ,72597,82946.6,74311.88,-0.36181884208058307
2022-11-02,27562.3,27692.55,27546.88,27663.39,27476.04,26941.58,27594.68,           ,86563,88052.6,75101.8,-0.3681103182908132
2022-11-04,27371.89,27389.3,27032.02,27199.74,27446.94,26982.61,27602.1,           ,111054,97185.2,75826.04,-0.5120744496248145
2022-11-07,27406.78,27578.01,27357.53,27527.64,27531.43,27026.83,27611.95,           ,78870,84041.6,75425.48,-0.4104239417122998
2022-11-08,27718.84,27943.27,27704.64,27872.11,27588.36,27104.23,27624.09,           ,84361,86689.0,74748.08,-0.3049886533552705
2022-11-09,27884.55,27926.52,27688.86,27716.43,27595.86,27164.25,27624.58,           ,79149,87999.4,74685.96,-0.35253579138246727
2022-11-10,27459.08,27485.38,27370.62,27446.1,27552.4,27182.41,27619.82,           ,77090,86104.8,74287.12,-0.43684023131192967
2022-11-11,27868.69,28329.54,27837.09,28263.57,27765.17,27228.13,27624.47,           ,103690,84632.0,75503.2,-0.18624940459945533
2022-11-14,28277.64,28305.04,27963.47,27963.47,27852.33,27254.22,27627.99,           ,85138,85885.6,76133.88,-0.27350176120371633
2022-11-15,27940.26,28038.63,27903.27,27990.17,27875.94,27289.18,27632.46,           ,71219,83257.2,76315.72,-0.26586707291793904
2022-11-16,28020.49,28069.25,27743.15,28028.3,27938.32,27354.26,27636.63,           ,73179,82063.2,76085.88,-0.2553536454852967
2022-11-17,27952.21,28029.62,27910.01,27930.57,28035.21,27415.61,27638.16,           ,58881,78421.4,75687.28,-0.28616058166494496
2022-11-18,28009.82,28045.44,27877.78,27899.77,27962.45,27482.1,27639.47,           ,64753,70634.0,75911.04,-0.29665583986566385
2022-11-21,27982.0,28007.06,27846.3,27944.79,27958.72,27516.26,27638.82,           ,56488,64904.0,74876.48,-0.28397145874157026
2022-11-22,28059.51,28203.35,28038.16,28115.74,27983.83,27569.86,27645.77,           ,75945,65849.2,75303.08,-0.2323007082507265
2022-11-24,28373.72,28502.29,28363.66,28383.09,28054.79,27618.94,27654.32,           ,83877,67988.8,76015.76,-0.15025329686415353
2022-11-25,28398.77,28399.88,28263.6,28283.03,28125.28,27659.97,27659.0,           ,56769,67566.4,75984.0,-0.18146134579489592
2022-11-28,28220.56,28238.5,28046.32,28162.83,28177.89,27706.2,27658.82,           ,64581,67532.0,76155.08,-0.21943515905515232
